C579785,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,-2,2011-11-30 15:29:00,4.95,12584.0
C579785,22847,BREAD BIN DINER STYLE IVORY,-3,2011-11-30 15:29:00,16.95,12584.0
C579785,22845,VINTAGE CREAM CAT FOOD CONTAINER,-3,2011-11-30 15:29:00,6.35,12584.0
C579785,22844,VINTAGE CREAM DOG FOOD CONTAINER,-3,2011-11-30 15:29:00,8.5,12584.0
C579785,22666,RECIPE BOX PANTRY YELLOW DESIGN,-1,2011-11-30 15:29:00,2.95,12584.0
C579864,22120,WELCOME  WOODEN BLOCK LETTERS,-9,2011-11-30 16:37:00,9.95,12584.0
580746,21733,RED HANGING HEART T-LIGHT HOLDER,6,2011-12-06 09:35:00,2.95,12584.0
580746,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-12-06 09:35:00,2.95,12584.0
580746,22847,BREAD BIN DINER STYLE IVORY,1,2011-12-06 09:35:00,16.95,12584.0
580746,22846,BREAD BIN DINER STYLE RED,1,2011-12-06 09:35:00,16.95,12584.0
580746,22667,RECIPE BOX RETROSPOT,6,2011-12-06 09:35:00,2.95,12584.0
580746,48138,DOORMAT UNION FLAG,2,2011-12-06 09:35:00,8.25,12584.0
580746,22627,MINT KITCHEN SCALES,2,2011-12-06 09:35:00,8.5,12584.0
580746,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2011-12-06 09:35:00,4.95,12584.0
