C564138,22662,LUNCH BAG DOLLY GIRL DESIGN,-1,2011-08-23 11:36:00,1.65,12753.0
C564138,20979,36 PENCILS TUBE RED RETROSPOT,-16,2011-08-23 11:36:00,1.25,12753.0
C564138,22637,PIGGY BANK RETROSPOT,-2,2011-08-23 11:36:00,2.1,12753.0
C564138,21218,RED SPOTTY BISCUIT TIN,-3,2011-08-23 11:36:00,3.25,12753.0
C564138,23239,SET OF 4 KNICK KNACK TINS POPPIES,-1,2011-08-23 11:36:00,3.75,12753.0
C564138,23244,ROUND STORAGE TIN VINTAGE LEAF,-2,2011-08-23 11:36:00,1.65,12753.0
C564138,23238,SET OF 4 KNICK KNACK TINS LONDON,-1,2011-08-23 11:36:00,3.75,12753.0
C564138,23229,VINTAGE DONKEY TAIL GAME,-1,2011-08-23 11:36:00,3.39,12753.0
566623,21787,RAIN PONCHO RETROSPOT,72,2011-09-14 09:31:00,0.85,12756.0
566623,21786,POLKADOT RAIN HAT,24,2011-09-14 09:31:00,0.42,12756.0
566623,21789,KIDS RAIN MAC PINK,24,2011-09-14 09:31:00,0.85,12756.0
566623,21788,KIDS RAIN MAC BLUE,24,2011-09-14 09:31:00,0.85,12756.0
